data_structure,operation,input_size,data_size,time_nano
q_array,insert,10,7,125
q_array,search,10,7,189
q_array,delete,10,6,93
q_list,insert,10,7,175
q_list,search,10,7,102
q_list,delete,10,6,255
sorted_list,insert,10,7,222
sorted_list,search,10,7,113
sorted_list,delete,10,7,153
binary_search_tree,insert,10,7,310
binary_search_tree,search,10,7,202
binary_search_tree,delete,10,7,366
q_array,insert,20,15,85
q_array,search,20,15,239
q_array,delete,20,14,71
q_list,insert,20,15,127
q_list,search,20,15,112
q_list,delete,20,14,158
sorted_list,insert,20,15,178
sorted_list,search,20,15,122
sorted_list,delete,20,15,172
binary_search_tree,insert,20,15,327
binary_search_tree,search,20,15,111
binary_search_tree,delete,20,15,373
q_array,insert,40,28,101
q_array,search,40,28,381
q_array,delete,40,27,62
q_list,insert,40,28,122
q_list,search,40,28,156
q_list,delete,40,27,97
sorted_list,insert,40,28,202
sorted_list,search,40,28,143
sorted_list,delete,40,28,179
binary_search_tree,insert,40,28,264
binary_search_tree,search,40,28,88
binary_search_tree,delete,40,27,358
q_array,insert,80,53,94
q_array,search,80,53,659
q_array,delete,80,52,76
q_list,insert,80,53,115
q_list,search,80,53,225
q_list,delete,80,52,93
sorted_list,insert,80,53,263
sorted_list,search,80,53,222
sorted_list,delete,80,53,259
binary_search_tree,insert,80,53,291
binary_search_tree,search,80,53,102
binary_search_tree,delete,80,53,424
q_array,insert,160,102,96
q_array,search,160,102,1175
q_array,delete,160,101,62
q_list,insert,160,102,125
q_list,search,160,102,370
q_list,delete,160,101,104
sorted_list,insert,160,102,412
sorted_list,search,160,102,363
sorted_list,delete,160,102,398
binary_search_tree,insert,160,102,369
binary_search_tree,search,160,102,111
binary_search_tree,delete,160,102,357
q_array,insert,320,206,109
q_array,search,320,206,2307
q_array,delete,320,205,63
q_list,insert,320,206,138
q_list,search,320,206,693
q_list,delete,320,205,106
sorted_list,insert,320,206,1011
sorted_list,search,320,206,679
sorted_list,delete,320,206,780
binary_search_tree,insert,320,206,360
binary_search_tree,search,320,206,137
binary_search_tree,delete,320,206,353
q_array,insert,640,400,100
q_array,search,640,400,4268
q_array,delete,640,399,74
q_list,insert,640,400,122
q_list,search,640,400,1267
q_list,delete,640,399,97
sorted_list,insert,640,400,1367
sorted_list,search,640,400,1314
sorted_list,delete,640,400,1394
binary_search_tree,insert,640,400,374
binary_search_tree,search,640,400,128
binary_search_tree,delete,640,400,411
q_array,insert,1280,810,86
q_array,search,1280,810,8314
q_array,delete,1280,809,72
q_list,insert,1280,810,122
q_list,search,1280,810,2546
q_list,delete,1280,809,93
sorted_list,insert,1280,810,3264
sorted_list,search,1280,810,3539
sorted_list,delete,1280,810,3674
binary_search_tree,insert,1280,810,471
binary_search_tree,search,1280,810,152
binary_search_tree,delete,1280,810,472
q_array,insert,2560,1617,66
q_array,search,2560,1617,13054
q_array,delete,2560,1616,54
q_list,insert,2560,1617,101
q_list,search,2560,1617,3999
q_list,delete,2560,1616,85
sorted_list,insert,2560,1617,5714
sorted_list,search,2560,1617,6486
sorted_list,delete,2560,1617,6695
binary_search_tree,insert,2560,1617,350
binary_search_tree,search,2560,1617,130
binary_search_tree,delete,2560,1617,448
q_array,insert,5120,3219,51
q_array,search,5120,3219,25352
q_array,delete,5120,3218,44
q_list,insert,5120,3219,88
q_list,search,5120,3219,7855
q_list,delete,5120,3218,105
sorted_list,insert,5120,3219,13569
sorted_list,search,5120,3219,14701
sorted_list,delete,5120,3219,14754
binary_search_tree,insert,5120,3219,457
binary_search_tree,search,5120,3219,139
binary_search_tree,delete,5120,3219,425
q_array,insert,10240,6437,88
q_array,search,10240,6437,50639
q_array,delete,10240,6436,68
q_list,insert,10240,6437,146
q_list,search,10240,6437,17010
q_list,delete,10240,6436,161
sorted_list,insert,10240,6437,44969
sorted_list,search,10240,6437,69913
sorted_list,delete,10240,6437,85225
binary_search_tree,insert,10240,6437,719
binary_search_tree,search,10240,6437,199
binary_search_tree,delete,10240,6437,519
q_array,insert,10,7,141
q_array,search,10,7,222
q_array,delete,10,6,109
q_list,insert,10,7,213
q_list,search,10,7,128
q_list,delete,10,6,343
sorted_list,insert,10,7,221
sorted_list,search,10,7,142
sorted_list,delete,10,7,201
binary_search_tree,insert,10,7,332
binary_search_tree,search,10,7,205
binary_search_tree,delete,10,7,388
q_array,insert,20,15,88
q_array,search,20,15,275
q_array,delete,20,14,88
q_list,insert,20,15,148
q_list,search,20,15,124
q_list,delete,20,14,183
sorted_list,insert,20,15,197
sorted_list,search,20,15,145
sorted_list,delete,20,15,192
binary_search_tree,insert,20,15,400
binary_search_tree,search,20,15,146
binary_search_tree,delete,20,15,398
q_array,insert,40,28,96
q_array,search,40,28,419
q_array,delete,40,27,66
q_list,insert,40,28,133
q_list,search,40,28,157
q_list,delete,40,27,148
sorted_list,insert,40,28,224
sorted_list,search,40,28,181
sorted_list,delete,40,28,227
binary_search_tree,insert,40,28,282
binary_search_tree,search,40,28,129
binary_search_tree,delete,40,28,337
q_array,insert,80,53,80
q_array,search,80,53,719
q_array,delete,80,52,84
q_list,insert,80,53,143
q_list,search,80,53,262
q_list,delete,80,52,123
sorted_list,insert,80,53,298
sorted_list,search,80,53,273
sorted_list,delete,80,53,316
binary_search_tree,insert,80,53,331
binary_search_tree,search,80,53,143
binary_search_tree,delete,80,53,512
q_array,insert,160,102,74
q_array,search,160,102,1304
q_array,delete,160,101,85
q_list,insert,160,102,121
q_list,search,160,102,424
q_list,delete,160,101,120
sorted_list,insert,160,102,459
sorted_list,search,160,102,514
sorted_list,delete,160,102,503
binary_search_tree,insert,160,102,548
binary_search_tree,search,160,102,149
binary_search_tree,delete,160,102,421
q_array,insert,320,206,83
q_array,search,320,206,2553
q_array,delete,320,205,96
q_list,insert,320,206,151
q_list,search,320,206,792
q_list,delete,320,205,148
sorted_list,insert,320,206,1147
sorted_list,search,320,206,784
sorted_list,delete,320,206,884
binary_search_tree,insert,320,206,392
binary_search_tree,search,320,206,146
binary_search_tree,delete,320,206,386
q_array,insert,640,400,74
q_array,search,640,400,4873
q_array,delete,640,399,98
q_list,insert,640,400,150
q_list,search,640,400,1472
q_list,delete,640,399,152
sorted_list,insert,640,400,1495
sorted_list,search,640,400,1496
sorted_list,delete,640,400,1605
binary_search_tree,insert,640,400,451
binary_search_tree,search,640,400,145
binary_search_tree,delete,640,400,490
q_array,insert,1280,810,125
q_array,search,1280,810,9399
q_array,delete,1280,809,156
q_list,insert,1280,810,214
q_list,search,1280,810,3570
q_list,delete,1280,809,253
sorted_list,insert,1280,810,4062
sorted_list,search,1280,810,4574
sorted_list,delete,1280,810,4626
binary_search_tree,insert,1280,810,455
binary_search_tree,search,1280,810,263
binary_search_tree,delete,1280,810,689
q_array,insert,2560,1617,103
q_array,search,2560,1617,16545
q_array,delete,2560,1616,86
q_list,insert,2560,1617,218
q_list,search,2560,1617,6203
q_list,delete,2560,1616,211
sorted_list,insert,2560,1617,8507
sorted_list,search,2560,1617,8719
sorted_list,delete,2560,1617,9175
binary_search_tree,insert,2560,1617,512
binary_search_tree,search,2560,1617,250
binary_search_tree,delete,2560,1617,635
q_array,insert,5120,3219,84
q_array,search,5120,3219,27303
q_array,delete,5120,3218,71
q_list,insert,5120,3219,149
q_list,search,5120,3219,10922
q_list,delete,5120,3218,168
sorted_list,insert,5120,3219,14763
sorted_list,search,5120,3219,16890
sorted_list,delete,5120,3219,16907
binary_search_tree,insert,5120,3219,454
binary_search_tree,search,5120,3219,223
binary_search_tree,delete,5120,3219,495
q_array,insert,10240,6437,91
q_array,search,10240,6437,51795
q_array,delete,10240,6436,74
q_list,insert,10240,6437,178
q_list,search,10240,6437,27789
q_list,delete,10240,6436,187
sorted_list,insert,10240,6437,51399
sorted_list,search,10240,6437,57859
sorted_list,delete,10240,6437,56949
binary_search_tree,insert,10240,6437,567
binary_search_tree,search,10240,6437,482
binary_search_tree,delete,10240,6437,523
q_array,insert,10,7,135
q_array,search,10,7,179
q_array,delete,10,6,86
q_list,insert,10,7,172
q_list,search,10,7,105
q_list,delete,10,6,249
sorted_list,insert,10,7,163
sorted_list,search,10,7,189
sorted_list,delete,10,7,196
binary_search_tree,insert,10,7,272
binary_search_tree,search,10,7,191
binary_search_tree,delete,10,7,329
q_array,insert,20,15,82
q_array,search,20,15,227
q_array,delete,20,14,82
q_list,insert,20,15,122
q_list,search,20,15,124
q_list,delete,20,14,142
sorted_list,insert,20,15,186
sorted_list,search,20,15,129
sorted_list,delete,20,15,143
binary_search_tree,insert,20,15,383
binary_search_tree,search,20,15,127
binary_search_tree,delete,20,15,358
q_array,insert,40,28,86
q_array,search,40,28,358
q_array,delete,40,27,74
q_list,insert,40,28,94
q_list,search,40,28,134
q_list,delete,40,27,113
sorted_list,insert,40,28,208
sorted_list,search,40,28,151
sorted_list,delete,40,28,171
binary_search_tree,insert,40,28,251
binary_search_tree,search,40,28,114
binary_search_tree,delete,40,28,264
q_array,insert,80,53,97
q_array,search,80,53,612
