data_structure,operation,input_size,data_size,time_nano
q_array,insert,10,10,343
q_array,search,10,10,179
q_array,delete,10,9,101
q_list,insert,10,10,201
q_list,search,10,10,102
q_list,delete,10,9,274
sorted_list,insert,10,10,275
sorted_list,search,10,10,181
sorted_list,delete,10,9,236
binary_search_tree,insert,10,10,371
binary_search_tree,search,10,10,197
binary_search_tree,delete,10,9,419
q_array,insert,20,20,361
q_array,search,20,20,278
q_array,delete,20,19,77
q_list,insert,20,20,121
q_list,search,20,20,123
q_list,delete,20,19,87
sorted_list,insert,20,20,240
sorted_list,search,20,20,141
sorted_list,delete,20,19,188
binary_search_tree,insert,20,20,318
binary_search_tree,search,20,20,120
binary_search_tree,delete,20,19,445
q_array,insert,40,40,533
q_array,search,40,40,485
q_array,delete,40,39,76
q_list,insert,40,40,124
q_list,search,40,40,179
q_list,delete,40,39,82
sorted_list,insert,40,40,286
sorted_list,search,40,40,183
sorted_list,delete,40,39,233
binary_search_tree,insert,40,40,318
binary_search_tree,search,40,40,119
binary_search_tree,delete,40,39,395
q_array,insert,80,80,937
q_array,search,80,80,907
q_array,delete,80,79,66
q_list,insert,80,80,125
q_list,search,80,80,298
q_list,delete,80,79,81
sorted_list,insert,80,80,424
sorted_list,search,80,80,319
sorted_list,delete,80,79,384
binary_search_tree,insert,80,80,294
binary_search_tree,search,80,80,145
binary_search_tree,delete,80,79,398
q_array,insert,160,160,1786
q_array,search,160,160,1738
q_array,delete,160,159,67
q_list,insert,160,160,139
q_list,search,160,160,546
q_list,delete,160,159,89
sorted_list,insert,160,160,641
sorted_list,search,160,160,551
sorted_list,delete,160,159,639
binary_search_tree,insert,160,160,333
binary_search_tree,search,160,160,129
binary_search_tree,delete,160,159,393
q_array,insert,320,320,3256
q_array,search,320,320,3405
q_array,delete,320,319,66
q_list,insert,320,320,123
q_list,search,320,320,1040
q_list,delete,320,319,92
sorted_list,insert,320,320,1240
sorted_list,search,320,320,1031
sorted_list,delete,320,319,1135
binary_search_tree,insert,320,320,360
binary_search_tree,search,320,320,139
binary_search_tree,delete,320,319,405
q_array,insert,640,640,6157
q_array,search,640,640,6559
q_array,delete,640,639,74
q_list,insert,640,640,105
q_list,search,640,640,1946
q_list,delete,640,639,89
sorted_list,insert,640,640,2153
sorted_list,search,640,640,1944
sorted_list,delete,640,639,2195
binary_search_tree,insert,640,640,351
binary_search_tree,search,640,640,164
binary_search_tree,delete,640,639,404
q_array,insert,1280,1280,13381
q_array,search,1280,1280,12686
q_array,delete,1280,1279,77
q_list,insert,1280,1280,160
q_list,search,1280,1280,3713
q_list,delete,1280,1279,93
sorted_list,insert,1280,1280,4120
sorted_list,search,1280,1280,3818
sorted_list,delete,1280,1279,4197
binary_search_tree,insert,1280,1280,399
binary_search_tree,search,1280,1280,153
binary_search_tree,delete,1280,1279,385
q_array,insert,2560,2560,22079
q_array,search,2560,2560,20649
q_array,delete,2560,2559,67
q_list,insert,2560,2560,115
q_list,search,2560,2560,6010
q_list,delete,2560,2559,97
sorted_list,insert,2560,2560,7495
sorted_list,search,2560,2560,6173
sorted_list,delete,2560,2559,6771
binary_search_tree,insert,2560,2560,356
binary_search_tree,search,2560,2560,121
binary_search_tree,delete,2560,2559,352
q_array,insert,5120,5120,49659
q_array,search,5120,5120,41048
q_array,delete,5120,5119,85
q_list,insert,5120,5120,149
q_list,search,5120,5120,14500
q_list,delete,5120,5119,215
sorted_list,insert,5120,5120,17066
sorted_list,search,5120,5120,15678
sorted_list,delete,5120,5119,16507
